TreeID,Symbol,Signal,Date,ClosePrice
0,A,BUY,2019-02-14,75.75358581542969
0,A,SELL,2019-02-25,78.03543853759766
0,A,BUY,2019-03-05,78.42887115478516
0,A,SELL,2019-03-21,80.6517105102539
0,A,BUY,2019-03-22,77.69120025634766
0,A,SELL,2019-04-04,79.66348266601562
0,A,BUY,2019-04-09,80.24496459960938
0,A,SELL,2019-04-16,76.43082427978516
0,A,BUY,2019-05-02,77.07144165039062
0,A,SELL,2019-05-13,72.77435302734375
0,A,BUY,2019-05-31,66.08235931396484
0,A,SELL,2019-06-12,69.27559661865234
0,A,BUY,2019-06-14,68.96021270751953
0,A,SELL,2019-06-17,69.27559661865234
0,A,BUY,2019-06-26,71.09890747070312
0,A,SELL,2019-06-27,72.13375091552734
0,A,BUY,2019-07-10,72.47032165527344
0,A,SELL,2019-08-19,70.87017822265625
0,A,BUY,2019-08-26,68.78605651855469
0,A,SELL,2019-09-10,73.8531494140625
0,A,BUY,2019-09-17,75.4631576538086
0,A,SELL,2019-09-18,76.61882019042969
0,A,BUY,2019-09-23,77.1028060913086
0,A,SELL,2019-11-01,76.18974304199219
0,A,BUY,2019-11-06,75.0217056274414
0,A,SELL,2019-11-08,75.86309051513672
0,A,BUY,2019-11-12,76.26892852783203
0,A,SELL,2019-11-15,77.46666717529297
0,A,BUY,2019-11-18,77.14990234375
0,A,SELL,2019-11-20,77.72402954101562
0,A,BUY,2019-12-03,79.28800964355469
0,A,SELL,2019-12-04,80.1095962524414
0,A,BUY,2019-12-05,80.70352172851562
0,A,SELL,2019-12-06,81.37662506103516
0,A,BUY,2019-12-11,82.5743637084961
0,A,SELL,2019-12-16,83.59391784667969
0,A,BUY,2019-12-18,82.58425903320312
0,A,SELL,2019-12-19,83.65331268310547
0,A,BUY,2019-12-27,84.55408477783203
0,A,SELL,2020-01-14,87.2819595336914
0,A,BUY,2020-01-23,88.35326385498047
0,A,SELL,2020-01-30,83.70099639892578
0,A,BUY,2020-02-14,85.12942504882812
0,A,SELL,2020-02-24,79.85223388671875
0,A,BUY,2020-02-25,77.32274627685547
0,A,SELL,2020-02-26,77.48146057128906
0,A,BUY,2020-03-10,72.32330322265625
0,A,SELL,2020-03-17,69.87318420410156
0,A,BUY,2020-03-24,66.46086120605469
0,A,SELL,2020-03-25,68.44476318359375
0,A,BUY,2020-03-26,73.12678527832031
0,A,SELL,2020-04-06,73.94934844970703
0,A,BUY,2020-04-13,75.78913879394531
0,A,SELL,2020-04-14,78.3946762084961
0,A,BUY,2020-04-15,76.62449645996094
0,A,SELL,2020-04-16,78.31510925292969
0,A,BUY,2020-04-20,76.94273376464844
0,A,SELL,2020-05-08,79.26981353759766
0,A,BUY,2020-05-14,81.18914794921875
0,A,SELL,2020-05-15,81.13941955566406
0,A,BUY,2020-05-20,81.25875854492188
0,A,SELL,2020-05-22,84.51071166992188
0,A,BUY,2020-05-27,85.70408630371094
0,A,SELL,2020-05-28,86.21126556396484
0,A,BUY,2020-06-03,89.99027252197266
0,A,SELL,2020-06-04,90.63668823242188
0,A,BUY,2020-06-09,89.27424621582031
0,A,SELL,2020-07-14,90.3785629272461
0,A,BUY,2020-07-24,94.48440551757812
0,A,SELL,2020-08-26,98.98888397216795
0,A,BUY,2020-09-03,99.29782104492188
0,A,SELL,2020-10-06,101.4636001586914
0,A,BUY,2020-10-19,105.3172836303711
0,A,SELL,2020-11-05,110.15933990478516
0,A,BUY,2020-11-06,112.35574340820312
0,A,SELL,2020-11-09,112.31580352783205
0,A,BUY,2020-11-11,109.23086547851562
0,A,SELL,2020-11-27,113.9031982421875
0,A,BUY,2020-12-02,114.38241577148438
0,A,SELL,2020-12-08,116.81842041015624
0,A,BUY,2020-12-10,118.61547088623048
0,A,SELL,2020-12-17,118.77521514892578
0,A,BUY,2020-12-21,117.587158203125
0,A,SELL,2021-01-14,126.02999877929688
0,A,BUY,2021-01-15,126.20999908447266
0,A,SELL,2021-01-19,127.3499984741211
0,A,BUY,2021-01-21,127.0
0,A,SELL,2021-02-12,127.9800033569336
0,A,BUY,2021-02-18,127.68000030517578
0,A,SELL,2021-03-11,121.83000183105469
0,A,BUY,2021-03-12,121.44000244140624